user_id,sku_id
58775	37638
94601	145990
47534	59175
77894	47693
17886	31662
95111	97025
23058	63006
40992	103652
14432	81462
77889	47693
92177	62863
5869	47693
38131	90621
2342	47693
20093	166707
78969	52343
24914	47193
18779	6533
6067	65520
75442	164544
14570	152872
1083	20308
102590	94561
2425	16839
5355	36171
9264	32465
89161	32465
38069	152179
44760	57018
97107	24679
41025	91957
83933	7746
92620	160750
33431	103652
44325	149641
5263	37957
31323	126535
6944	115851
87859	7498
80662	46990
93435	12540
51370	103652
4807	31662
6850	131300
25880	103132
84132	36307
102445	57018
34917	152478
2139	154636
47813	52343
40284	18412
30829	32465
66613	46990
4922	81462
4243	14163
79618	109728
43675	125110
80400	84409
28639	103652
97532	123578
5630	38639
19734	5825
8844	31662
8392	47895
4244	40336
77162	24679
29138	166707
59134	63006
20161	281
78777	47193
36597	149641
85712	12564
9240	149641
54094	57018
75666	38639
100049	63006
64152	121811
63995	8466
20044	152872
56397	20308
102045	116670
22526	81462
87560	126146
30720	7498
64238	131777
39054	73469
11848	107012
31553	36307
13519	12540
97789	123773
96349	107012
89156	128567
33992	55092
18223	47193
90322	146704
71208	37957
69374	108824
10079	21147
51881	57018
17972	23696
57660	57018
101615	57161
69382	57161
42280	20308
5329	97025
10492	63006
73939	77074
5291	134619
28166	129889
21656	164544
90362	154636
61648	5825
26220	152872
54672	41101
73146	166707
14429	103132
9937	84409
52476	5505
29255	128979
95338	164258
6569	108824
26109	126146
71087	126535
61618	151327
43348	52343
11292	168136
94217	57018
85379	84389
70365	155017
84468	37957
98916	47895
97403	12564
84689	152872
47699	128089
45524	42721
27017	108824
82826	71553
25917	108824
48857	74141
4459	152478
25945	6533
54859	147796
62787	153551
93319	81462
72357	107012
2917	60861
12769	81708
42956	37638
75791	149641
19313	154636
20449	108824
94149	155017
5698	103234
45379	76270
99145	103652
28899	84389
27771	126146
16296	25987
9333	63229
12898	7498
33050	152478
94469	68615
13562	46673
18394	37957
44538	21147
87106	57018
75567	40336
56815	84389
60096	32465
103262	154636
69821	59175
46630	108824
2967	85719
40809	36307
79402	109728
75142	117179
57160	60861
84387	37957
71216	5825
51310	63006
23137	103652
3634	154636
90055	103132
29163	107012
6715	91957
68346	16839
19782	18412
39878	106714
60088	125756
15274	37957
21493	103652
47062	79636
44843	47193
74331	81462
89679	4366
100905	154636
30442	37957
81484	166707
12963	31662
70404	38594
98569	140807
72004	37957
36476	21147
30928	77937
88486	153551
80050	31662
31700	152478
83836	13349
13515	37957
63607	109083
34914	63006
80225	115851
87011	63006
9555	89802
55697	37957
52479	152478
101910	154636
19986	75489
22865	166707
43857	6533
68056	63006
60854	44854
16449	136244
54959	151327
91693	6809
20880	23696
95796	18412
15031	152478
11526	63006
19713	124997
10947	55715
5224	154636
36270	84389
5413	18412
54935	126535
93825	67241
33830	166354
60394	113185
67985	52343
4061	166707
28875	108399
220	84389
18792	44854
82575	152478
22603	111741
55237	141200
25605	152478
78944	47895
138	14163
53376	12564
25262	73398
52316	63006
51725	57018
98151	18412
44660	18412
89206	68767
61107	37995
40182	36307
59606	14577
88338	103652
102720	77571
78975	146704
97845	63310
7987	60293
71416	63006
82311	57018
45164	61226
44509	149641
35317	48895
55634	63006
50626	138778
85823	64974
18826	126906
50272	6533
31596	74141
30116	95850
12806	160476
98495	5505
12110	161870
25648	14433
94323	154636
20055	52343
