user_id,sku_id
88,149641
104,5825
114,40336
150,151327
172,149641
194,111930
234,131300
272,12564
372,134084
522,63006
533,63006
649,24371
697,131300
737,5505
806,52343
808,31493
864,62863
900,93295
910,90621
941,80030
968,128988
1112,166707
1124,129433
1467,59175
1491,142140
1513,47895
1661,57386
1711,44854
1715,32465
1734,94561
1833,108399
1899,61226
1927,149854
2066,128988
2103,142140
2114,37957
2180,128988
2253,50290
2295,94482
2342,47693
2409,79520
2460,21147
2541,12564
2541,52343
2557,116489
2589,37254
2644,148001
2667,68615
2702,129010
2714,166707
2729,73755
2751,134619
2798,131300
2836,124997
2851,124997
2912,38639
2967,118035
3088,125756
3137,103890
3139,126146
3166,84409
3169,12564
3211,63006
3333,3067
3381,31662
3420,57161
3559,142140
3745,40336
3798,154636
3881,164544
3996,164318
4086,25362
4113,149641
4171,47895
4244,40336
4248,59175
4249,63006
4326,110237
4332,276
4332,20308
4375,33095
4446,103652
4452,166707
4505,113452
4538,116489
4543,115851
4621,75836
4653,149641
4691,149641
4700,132835
4780,78335
4848,38123
4869,153395
4927,12564
4927,52343
4965,15259
4965,128652
4965,160476
5145,147796
5190,76270
5267,125756
5291,134619
5330,164252
5349,124997
5350,7498
5378,149641
5392,63006
5413,18412
5426,145946
5507,107012
5514,152478
5521,37638
5597,12564
5627,12564
5676,15258
5777,43062
5799,30195
5869,47693
5886,23696
5904,24810
5935,79520
5944,38639
5970,116881
5986,72771
5995,69209
6019,5505
6052,69209
6059,122341
6059,142140
6123,70873
6139,31628
6244,126535
6287,124997
6288,154636
6288,166707
6305,18412
6385,63721
6385,152478
6474,154636
6628,160476
6709,68615
6715,91957
6728,12564
6733,15134
6745,154636
6746,132865
6758,44854
6812,81462
6851,144549
6852,85557
6859,15134
6886,6533
6897,151327
7023,122341
7048,55143
7090,128567
7099,91957
7299,57018
7385,1101
7389,124997
7421,158623
7433,149641
7468,7746
7598,39425
7607,166354
7640,124997
7841,97025
7854,144364
7954,153551
7974,21147
8043,147796
8072,63006
8076,149641
8085,63006
8087,47895
8116,160750
8150,153551
8184,64974
8255,62863
8266,5825
8305,57161
8308,10325
8322,12564
8322,36371
8322,52343
8322,84389
8322,163754
8344,57018
8379,63006
8392,47895
8429,124997
8484,24371
8526,160750
8584,81495
8603,94482
8683,5825
8719,164354
8720,103652
8732,141200
8736,124997
8785,63006
8871,124997
8884,5825
8885,31662
8900,48895
8993,154636
8999,121033
9003,64974
9041,44854
9065,115867
9110,15259
9123,47895
9214,47895
9240,149641
9247,50416
9247,135409
9258,42721
9279,128567
9333,170870
9339,146704
9373,18103
9402,56764
9418,130563
9429,145895
9493,42721
9515,152478
9555,89802
9582,58246
9700,90621
9775,63006
9817,58246
9819,109083
9820,151327
9821,107012
9888,63006
9895,62351
9958,70839
9970,20308
9976,159439
10041,18412
10054,276
10055,145923
10062,53638
10077,116497
10126,79520
10162,51670
10194,80030
10350,63006
10356,16141
10374,31662
10381,59175
10406,154636
10433,107012
10449,63006
10516,6238
10523,42199
10588,79636
10694,44854
10699,80030
10798,94561
10803,103652
10805,24371
10885,124997
10908,147796
10957,68615
10980,149641
10984,36171
11005,20308
11014,63006
11114,169819
11178,153551
11208,84389
11237,88295
11298,157827
11315,38639
11321,135409
11338,124997
11376,164258
11410,5505
11420,107012
11450,55715
11450,144542
11516,151327
11602,57018
11640,134619
11714,166779
11786,115237
11787,169819
11823,32465
11884,89802
11910,68767
12044,113185
12092,149641
12132,144549
12148,81708
12152,134084
12198,134619
12204,124997
12212,65280
12289,166707
12301,107012
12313,84409
12371,37957
12392,124997
12404,125756
12429,41101
12437,75877
12450,147796
12485,128747
12493,157426
12526,71487
12533,78694
12636,113185
12646,14433
12689,84409
12693,19662
12698,167310
12720,128988
12809,84409
12865,63006
12955,40336
13023,63006
13055,154636
13071,149641
13079,135187
13081,47193
13099,15259
13099,18103
13236,31662
13271,124997
13381,12564
13389,160931
13431,154636
13436,63006
13462,14433
13525,63006
13586,44854
13650,24371
13671,62863
13681,40336
13737,15391
13781,70873
13921,78694
14018,130278
14032,73398
14034,52343
14188,153551
